,precision,recall,f1-score,support
ARTS,0.3192488262910798,0.2251655629139073,0.26407766990291265,302.0
ARTS & CULTURE,0.33532934131736525,0.208955223880597,0.2574712643678161,268.0
BLACK VOICES,0.5224089635854342,0.40676117775354415,0.457388105456775,917.0
BUSINESS,0.5276785714285714,0.493322203672788,0.5099223468507333,1198.0
COLLEGE,0.45098039215686275,0.4017467248908297,0.42494226327944573,229.0
COMEDY,0.5739348370927319,0.42407407407407405,0.48775292864749736,1080.0
CRIME,0.5334242837653479,0.5491573033707865,0.5411764705882353,712.0
CULTURE & ARTS,0.5726495726495726,0.3116279069767442,0.4036144578313253,215.0
DIVORCE,0.7940717628705148,0.743065693430657,0.7677224736048266,685.0
EDUCATION,0.46629213483146065,0.4088669950738916,0.4356955380577428,203.0
ENTERTAINMENT,0.638495359062042,0.7526634033976389,0.6908946742434254,3473.0
ENVIRONMENT,0.5146198830409356,0.3044982698961938,0.3826086956521739,289.0
FIFTY,0.3584905660377358,0.1357142857142857,0.19689119170984457,280.0
FOOD & DRINK,0.6012658227848101,0.749211356466877,0.6671348314606742,1268.0
GOOD NEWS,0.3727810650887574,0.225,0.2806236080178174,280.0
GREEN,0.3785425101214575,0.3568702290076336,0.36738703339882123,524.0
HEALTHY LIVING,0.3655913978494624,0.20313666915608664,0.26116178588574174,1339.0
HOME & LIVING,0.7277904328018223,0.7395833333333334,0.7336394948335246,864.0
IMPACT,0.4246575342465753,0.3113342898134864,0.35927152317880795,697.0
LATINO VOICES,0.6134453781512605,0.3230088495575221,0.42318840579710143,226.0
MEDIA,0.5630434782608695,0.4397283531409168,0.4938036224976168,589.0
MONEY,0.47104247104247104,0.3475783475783476,0.4,351.0
PARENTING,0.5186802523047065,0.6080773606370876,0.5598324168630532,1758.0
PARENTS,0.38381742738589214,0.23388116308470291,0.2906520031421838,791.0
POLITICS,0.7164002368265245,0.8495997753124561,0.7773352177823462,7121.0
QUEER VOICES,0.770363951473137,0.7005516154452325,0.7338010730499381,1269.0
RELIGION,0.5935483870967742,0.5359223300970873,0.563265306122449,515.0
SCIENCE,0.5977011494252874,0.47165532879818595,0.5272496831432193,441.0
SPORTS,0.6584507042253521,0.7369458128078817,0.6954904695490469,1015.0
STYLE,0.5123152709359606,0.23059866962305986,0.3180428134556575,451.0
STYLE & BEAUTY,0.7668097281831188,0.8191543555781966,0.7921182266009852,1963.0
TASTE,0.3674418604651163,0.18854415274463007,0.24921135646687698,419.0
TECH,0.5443037974683544,0.4085510688836104,0.46675712347354137,421.0
THE WORLDPOST,0.5,0.42837653478854026,0.461425422483468,733.0
TRAVEL,0.692722371967655,0.7787878787878788,0.7332382310984308,1980.0
U.S. NEWS,0.28735632183908044,0.09090909090909091,0.13812154696132597,275.0
WEDDINGS,0.7792207792207793,0.8207934336525308,0.7994670219853431,731.0
WEIRD NEWS,0.38173302107728335,0.2936936936936937,0.3319755600814664,555.0
WELLNESS,0.5621643127113587,0.7874059626636947,0.6559888579387186,3589.0
WOMEN,0.43037974683544306,0.2857142857142857,0.3434343434343434,714.0
WORLD NEWS,0.44841269841269843,0.3424242424242424,0.38831615120274915,660.0
WORLDPOST,0.4609164420485175,0.3313953488372093,0.3855693348365276,516.0
accuracy,0.6125375841168329,0.6125375841168329,0.6125375841168329,0.6125375841168329
macro avg,0.5261553105804806,0.4524774370853199,0.476610965355584,41906.0
weighted avg,0.5930555471419616,0.6125375841168329,0.5940107179862228,41906.0
