,precision,recall,f1-score,support
ARTS & ENTERTAINMENT,0.7431137724550898,0.6975829117481731,0.7196288779356336,5337.0
BUSINESS & TECH,0.5496347228190803,0.6489091831557585,0.595160539785947,1971.0
CRIME,0.4270734032411821,0.6292134831460674,0.5088018171493469,712.0
FAMILY & RELATIONSHIPS,0.7541561712846347,0.7551071878940732,0.7546313799621929,3965.0
FOOD & TRAVEL,0.7596979953137204,0.7957458412871558,0.7773042088438998,3667.0
GENERAL NEWS & ODDITIES,0.2972972972972973,0.4347305389221557,0.3531128404669261,835.0
HOME & STYLE,0.812273276904474,0.8197071384990848,0.8159732766474339,3278.0
POLITICS & WORLD NEWS,0.858166033640803,0.746742209631728,0.7985862156021207,10590.0
RELIGION,0.44142857142857145,0.6,0.508641975308642,515.0
SCIENCE & ENVIRONMENT,0.4948705422569614,0.6008303677342823,0.5427270291990356,1686.0
SPORTS,0.630298273155416,0.7911330049261084,0.7016164263870686,1015.0
VOICES & IDENTITY,0.6314413741598207,0.5407739047009914,0.5826012058570198,3127.0
WELLNESS & HEALTH,0.7447778199772123,0.7530721966205837,0.7489020431544777,5208.0
accuracy,0.7172719896912136,0.7172719896912136,0.7172719896912136,0.7172719896912136
macro avg,0.6264791733795588,0.6779652283281663,0.6467452181769034,41906.0
weighted avg,0.7321877505309723,0.7172719896912136,0.722004441208372,41906.0
