,ARTS & ENTERTAINMENT,BUSINESS & TECH,CRIME,FAMILY & RELATIONSHIPS,FOOD & TRAVEL,GENERAL NEWS & ODDITIES,HOME & STYLE,POLITICS & WORLD NEWS,RELIGION,SCIENCE & ENVIRONMENT,SPORTS,VOICES & IDENTITY,WELLNESS & HEALTH
ARTS & ENTERTAINMENT,3273,40,18,224,101,24,148,1118,13,31,33,171,143
BUSINESS & TECH,65,913,7,60,52,2,44,588,2,33,11,27,167
CRIME,20,10,294,39,10,20,7,243,7,11,6,24,21
FAMILY & RELATIONSHIPS,132,34,3,2909,78,8,98,281,3,27,16,57,319
FOOD & TRAVEL,155,36,3,72,2518,9,144,479,12,35,11,18,175
GENERAL NEWS & ODDITIES,91,19,36,62,61,155,26,278,3,28,14,20,42
HOME & STYLE,184,29,0,87,94,5,2425,283,1,16,6,28,120
POLITICS & WORLD NEWS,210,204,137,171,121,27,50,8859,52,169,40,248,302
RELIGION,28,1,1,16,6,2,9,147,220,10,0,26,49
SCIENCE & ENVIRONMENT,83,30,5,54,62,34,38,546,3,651,13,29,138
SPORTS,75,3,3,23,10,5,9,262,2,3,568,24,28
VOICES & IDENTITY,358,32,35,171,47,13,79,741,15,23,39,1405,169
WELLNESS & HEALTH,153,94,0,210,197,10,75,722,9,44,31,60,3603
